"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00003887","2000-12-04","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   33",",,W","  -33",",,W","   62",",,W"," 0929",",,W"," 0928",",,W","    0",",,W",,,"  210",",,W","  200",",,W","  103",",,W","  125",",,W",,,,,,,,,,,,
"USW00003887","2000-12-05","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   28",",,W","  -89",",,W","   57",",,W"," 0115",",,W"," 0111",",,W","  -28",",,W",,,"  320",",,W","  320",",,W","  125",",,W","  161",",,W",,,,,,,,,,,,
"USW00003887","2000-12-06","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"  -33",",,W","  -94",",,W","   38",",,W"," 2044",",,W"," 2043",",,W","  -61",",,W",,,"  290",",,W","  290",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,
"USW00003887","2000-12-07","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   67",",,W","  -44",",,W","   52",",,W"," 0805",",,W"," 0915",",,W","   11",",,W",,,"  200",",,W","  220",",,W","   94",",,W","  107",",,W",,,,,,,,,,,,
"USW00003887","2000-12-08","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   28",",,W","  -94",",,W","   43",",,W"," 0238",",,W"," 0338",",,W","  -33",",,W",,,"  340",",,W","  330",",,W","   98",",,W","  112",",,W",,,,,,,,,,,,
"USW00003887","2000-12-09","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   17",",,W"," -111",",,W","   42",",,W"," 1857",",,W"," 1856",",,W","  -44",",,W",,,"  140",",,W","  140",",,W","   72",",,W","   80",",,W",,,,,,,,,,,,
"USW00003887","2000-12-10","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   61",",,W","    0",",,W","   33",",,W"," 0533",",,W"," 0409",",,W","   33",",,W",,,"  220",",,W","  190",",,W","   63",",,W","   76",",,W",,,,,,,,,,,,
"USW00003887","2000-12-11","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","  175",",,W",,,,,"   17",",,W"," -128",",,W","   66",",,W"," 1949",",,W"," 1948",",,W","  -56",",,W",,,"  280",",,W","  270",",,W","  148",",,W","  206",",,W",,,,,,,,,,,,
"USW00003887","2000-12-12","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,," -111",",,W"," -167",",,W","   42",",,W"," 0043",",,W"," 0042",",,W"," -178",",,W",,,"  290",",,W","  300",",,W","  112",",,W","  143",",,W",,,,,,,,,,,,
"USW00003887","2000-12-13","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","   53",",,W",,,,,"  -50",",,W"," -156",",,W","   50",",,W"," 1506",",,W"," 1505",",,W"," -100",",,W",,,"   70",",,W","   70",",,W","   98",",,W","  107",",,W",,,,,,,,,,,,
