"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202331","31","07/30/2023","08/05/2023","2022-2023","Influenza B","8","Little Village","2023","0",,"0","Minimal","202331-8-Influenza B"
"202244","44","10/30/2022","11/05/2022","2022-2023","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202244-4-RSV"
"202442","42","10/13/2024","10/19/2024","2024-2025","RSV","999","All sites","2024","305.35714285714","8.48480808339","0","Minimal","202442-999-RSV"
"202506","6","02/02/2025","02/08/2025","2024-2025","SARS-CoV-2","4","Austin/Montclare","2025","1,204,500","12.08080680433","12.7","Very High","202506-4-SARS-CoV-2"
"202419","19","05/05/2024","05/11/2024","2023-2024","Influenza B","8","Little Village","2024","2,025","9.30642502755","1","Minimal","202419-8-Influenza B"
"202322","22","05/28/2023","06/03/2023","2022-2023","Influenza B","9","North Branch PS","2023","0",,"0","Minimal","202322-9-Influenza B"
"202332","32","08/06/2023","08/12/2023","2022-2023","RSV","9","North Branch PS","2023","0",,"0","Minimal","202332-9-RSV"
"202310","10","03/05/2023","03/11/2023","2022-2023","SARS-CoV-2","6","West Pullman/Roseland","2023","235,012.5","11.37109096243","9.5","Very High","202310-6-SARS-CoV-2"
"202415","15","04/07/2024","04/13/2024","2023-2024","RSV","4","Austin/Montclare","2024","7,800","9.89209460269","1.6","Minimal","202415-4-RSV"
"202505","5","01/26/2025","02/01/2025","2024-2025","Influenza B","8","Little Village","2025","0",,"0","Minimal","202505-8-Influenza B"
"202331","31","07/30/2023","08/05/2023","2022-2023","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202331-5-Influenza B"
"202324","24","06/11/2023","06/17/2023","2022-2023","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202324-5-Influenza B"
"202318","18","04/30/2023","05/06/2023","2022-2023","SARS-CoV-2","11","125th St PS","2023","65,175","10.81408103984","4.2","Moderate","202318-11-SARS-CoV-2"
"202512","12","03/16/2025","03/22/2025","2024-2025","Influenza B","9","North Branch PS","2025","15,900","10.20139712432","3.9","Low","202512-9-Influenza B"
"202547","47","11/16/2025","11/22/2025","2025-2026","SARS-CoV-2","8","Little Village","2025","83,512.5","10.92175148476","2.2","Low","202547-8-SARS-CoV-2"
"202222","22","05/29/2022","06/04/2022","2021-2022","RSV","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202222-5-RSV"
"202427","27","06/30/2024","07/06/2024","2023-2024","SARS-CoV-2","10","Racine Ave PS","2024","24,375","10.38694462437","1.1","Minimal","202427-10-SARS-CoV-2"
"202344","44","10/29/2023","11/04/2023","2023-2024","SARS-CoV-2","8","Little Village","2023","121,725","11.08537978322","2.9","Low","202344-8-SARS-CoV-2"
"202340","40","10/01/2023","10/07/2023","2023-2024","Influenza B","8","Little Village","2023","0",,"0","Minimal","202340-8-Influenza B"
"202234","34","08/21/2022","08/27/2022","2021-2022","RSV","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202234-5-RSV"
"202239","39","09/25/2022","10/01/2022","2021-2022","Influenza A","999","All sites","2022",,,"0","Minimal","202239-999-Influenza A"
"202525","25","06/15/2025","06/21/2025","2024-2025","SARS-CoV-2","11","125th St PS","2025","2,137.5","9.3299061234","0.6","Minimal","202525-11-SARS-CoV-2"
"202547","47","11/16/2025","11/22/2025","2025-2026","SARS-CoV-2","10","Racine Ave PS","2025","41,287.5","10.6158185867","1.6","Minimal","202547-10-SARS-CoV-2"
"202338","38","09/17/2023","09/23/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202338-6-Influenza B"
"202213","13","03/27/2022","04/02/2022","2021-2022","Influenza B","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202213-5-Influenza B"
"202401","1","12/31/2023","01/06/2024","2023-2024","SARS-CoV-2","4","Austin/Montclare","2024","2,321,625","12.36579207174","19.2","Very High","202401-4-SARS-CoV-2"
"202429","29","07/14/2024","07/20/2024","2023-2024","Influenza A","999","All sites","2024","7,810.71428571429","9.8926907517","0","Minimal","202429-999-Influenza A"
"202340","40","10/01/2023","10/07/2023","2023-2024","SARS-CoV-2","8","Little Village","2023","339,262.5","11.53053585804","6.1","High","202340-8-SARS-CoV-2"
"202412","12","03/17/2024","03/23/2024","2023-2024","Influenza A","10","Racine Ave PS","2024","34,200","10.53402610606","5","Low","202412-10-Influenza A"
"202528","28","07/06/2025","07/12/2025","2024-2025","Influenza A","8","Little Village","2025","0",,"0","Minimal","202528-8-Influenza A"
