"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202444","44","10/27/2024","11/02/2024","2024-2025","RSV","4","Austin/Montclare","2024","1,950","9.29003461136","1","Minimal","202444-4-RSV"
"202333","33","08/13/2023","08/19/2023","2022-2023","RSV","11","125th St PS","2023","0",,"0","Minimal","202333-11-RSV"
"202322","22","05/28/2023","06/03/2023","2022-2023","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202322-5-Influenza B"
"202534","34","08/17/2025","08/23/2025","2024-2025","Influenza A","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202534-5-Influenza A"
"202538","38","09/14/2025","09/20/2025","2024-2025","SARS-CoV-2","9","North Branch PS","2025","174,487.5","11.24176432026","3.1","Low","202538-9-SARS-CoV-2"
"202519","19","05/04/2025","05/10/2025","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2025","37,462.5","10.57359675595","1.6","Minimal","202519-5-SARS-CoV-2"
"202511","11","03/09/2025","03/15/2025","2024-2025","Influenza A","9","North Branch PS","2025","17,850","10.25163822045","3","Low","202511-9-Influenza A"
"202422","22","05/26/2024","06/01/2024","2023-2024","SARS-CoV-2","6","West Pullman/Roseland","2024","39,637.5","10.59810625504","2.9","Low","202422-6-SARS-CoV-2"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202319-6-Influenza B"
"202413","13","03/24/2024","03/30/2024","2023-2024","RSV","5","Chicago Lawn/Ashburn","2024","11,400","10.05690485134","2.1","Minimal","202413-5-RSV"
"202526","26","06/22/2025","06/28/2025","2024-2025","RSV","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202526-5-RSV"
"202237","37","09/11/2022","09/17/2022","2021-2022","Influenza A","4","Austin/Montclare","2022",,,"0","Minimal","202237-4-Influenza A"
"202539","39","09/21/2025","09/27/2025","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2025","15,000","10.17609125906","1.5","Minimal","202539-6-SARS-CoV-2"
"202443","43","10/20/2024","10/26/2024","2024-2025","Influenza B","11","125th St PS","2024","0",,"0","Minimal","202443-11-Influenza B"
"202224","24","06/12/2022","06/18/2022","2021-2022","RSV","999","All sites","2022",,,"0","Minimal","202224-999-RSV"
"202524","24","06/08/2025","06/14/2025","2024-2025","RSV","4","Austin/Montclare","2025","0",,"0","Minimal","202524-4-RSV"
"202314","14","04/02/2023","04/08/2023","2022-2023","RSV","999","All sites","2023","2,953.125","9.47028183019","0","Minimal","202314-999-RSV"
"202334","34","08/20/2023","08/26/2023","2022-2023","SARS-CoV-2","4","Austin/Montclare","2023","194,137.5","11.28810943271","3.7","Moderate","202334-4-SARS-CoV-2"
"202507","7","02/09/2025","02/15/2025","2024-2025","Influenza A","11","125th St PS","2025","67,912.5","10.83194971804","8.5","Moderate","202507-11-Influenza A"
"202347","47","11/19/2023","11/25/2023","2023-2024","Influenza B","11","125th St PS","2023","1,912.5","9.28160144383","1","Minimal","202347-11-Influenza B"
"202331","31","07/30/2023","08/05/2023","2022-2023","RSV","11","125th St PS","2023","0",,"0","Minimal","202331-11-RSV"
"202229","29","07/17/2022","07/23/2022","2021-2022","Influenza B","6","West Pullman/Roseland","2022",,,"0","Minimal","202229-6-Influenza B"
"202434","34","08/18/2024","08/24/2024","2023-2024","SARS-CoV-2","8","Little Village","2024","162,862.5","11.21182109709","3.8","Moderate","202434-8-SARS-CoV-2"
"202525","25","06/15/2025","06/21/2025","2024-2025","Influenza A","9","North Branch PS","2025","0",,"0","Minimal","202525-9-Influenza A"
"202334","34","08/20/2023","08/26/2023","2022-2023","SARS-CoV-2","11","125th St PS","2023","119,962.5","11.07904550781","10.5","Very High","202334-11-SARS-CoV-2"
"202511","11","03/09/2025","03/15/2025","2024-2025","RSV","5","Chicago Lawn/Ashburn","2025","17,850","10.25163822045","2.9","Low","202511-5-RSV"
"202402","2","01/07/2024","01/13/2024","2023-2024","Influenza A","999","All sites","2024","43,982.1428571429","10.64327638483","6.7","Moderate","202402-999-Influenza A"
"202210","10","03/06/2022","03/12/2022","2021-2022","RSV","6","West Pullman/Roseland","2022",,,"0","Minimal","202210-6-RSV"
"202546","46","11/09/2025","11/15/2025","2025-2026","Influenza A","4","Austin/Montclare","2025","7,612.5","9.88152730564","1.6","Minimal","202546-4-Influenza A"
"202304","4","01/22/2023","01/28/2023","2022-2023","Influenza B","999","All sites","2023","1,603.125","9.20496738679","0","Minimal","202304-999-Influenza B"
"202350","50","12/10/2023","12/16/2023","2023-2024","RSV","10","Racine Ave PS","2023","19,612.5","10.2925329566","6.2","Moderate","202350-10-RSV"
"202238","38","09/18/2022","09/24/2022","2021-2022","RSV","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202238-5-RSV"
"202340","40","10/01/2023","10/07/2023","2023-2024","Influenza A","999","All sites","2023","2,260.71428571429","9.35424567868","0","Minimal","202340-999-Influenza A"
"202344","44","10/29/2023","11/04/2023","2023-2024","RSV","5","Chicago Lawn/Ashburn","2023","15,825","10.19934371869","2.6","Low","202344-5-RSV"
"202306","6","02/05/2023","02/11/2023","2022-2023","SARS-CoV-2","6","West Pullman/Roseland","2023","290,587.5","11.46327692862","10.9","Very High","202306-6-SARS-CoV-2"
"202410","10","03/03/2024","03/09/2024","2023-2024","Influenza B","8","Little Village","2024","18,675","10.27126061049","7.6","Moderate","202410-8-Influenza B"
"202305","5","01/29/2023","02/04/2023","2022-2023","SARS-CoV-2","8","Little Village","2023","982,875","11.99249828867","14","Very High","202305-8-SARS-CoV-2"
"202532","32","08/03/2025","08/09/2025","2024-2025","SARS-CoV-2","8","Little Village","2025","75,300","10.8767949762","2.2","Low","202532-8-SARS-CoV-2"
"202306","6","02/05/2023","02/11/2023","2022-2023","RSV","4","Austin/Montclare","2023",,,"0","Minimal","202306-4-RSV"
"202419","19","05/05/2024","05/11/2024","2023-2024","SARS-CoV-2","6","West Pullman/Roseland","2024","16,012.5","10.20445914275","1.6","Minimal","202419-6-SARS-CoV-2"
"202407","7","02/11/2024","02/17/2024","2023-2024","Influenza A","8","Little Village","2024","15,112.5","10.17933631387","2.7","Minimal","202407-8-Influenza A"
"202451","51","12/15/2024","12/21/2024","2024-2025","Influenza B","4","Austin/Montclare","2024","0",,"0","Minimal","202451-4-Influenza B"
"202322","22","05/28/2023","06/03/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202322-6-Influenza B"
"202404","4","01/21/2024","01/27/2024","2023-2024","Influenza A","9","North Branch PS","2024","20,437.5","10.31042777","3.6","Low","202404-9-Influenza A"
"202336","36","09/03/2023","09/09/2023","2022-2023","RSV","8","Little Village","2023","2,025","9.30642502755","1","Minimal","202336-8-RSV"
"202307","7","02/12/2023","02/18/2023","2022-2023","RSV","999","All sites","2023",,,"0","Minimal","202307-999-RSV"
"202552","52","12/21/2025","12/27/2025","2025-2026","Influenza B","10","Racine Ave PS","2025","0",,"0","Minimal","202552-10-Influenza B"
"202318","18","04/30/2023","05/06/2023","2022-2023","Influenza A","4","Austin/Montclare","2023","0",,"0","Minimal","202318-4-Influenza A"
"202509","9","02/23/2025","03/01/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","1,987.5","9.29830713733","1","Minimal","202509-6-Influenza A"
"202302","2","01/08/2023","01/14/2023","2022-2023","Influenza A","6","West Pullman/Roseland","2023","0",,"0","Minimal","202302-6-Influenza A"
"202317","17","04/23/2023","04/29/2023","2022-2023","Influenza A","5","Chicago Lawn/Ashburn","2023","2,025","9.30642502755","1","Minimal","202317-5-Influenza A"
"202439","39","09/22/2024","09/28/2024","2023-2024","SARS-CoV-2","11","125th St PS","2024","76,500","10.88366143515","4.7","Moderate","202439-11-SARS-CoV-2"
"202448","48","11/24/2024","11/30/2024","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2024","6,075","9.78354628227","0.8","Minimal","202448-6-SARS-CoV-2"
"202502","2","01/05/2025","01/11/2025","2024-2025","Influenza B","6","West Pullman/Roseland","2025","0",,"0","Minimal","202502-6-Influenza B"
"202539","39","09/21/2025","09/27/2025","2024-2025","RSV","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202539-5-RSV"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza A","4","Austin/Montclare","2023","0",,"0","Minimal","202319-4-Influenza A"
"202412","12","03/17/2024","03/23/2024","2023-2024","SARS-CoV-2","4","Austin/Montclare","2024","579,075","11.76273481585","7.2","High","202412-4-SARS-CoV-2"
"202508","8","02/16/2025","02/22/2025","2024-2025","Influenza A","8","Little Village","2025","149,625","11.17500416341","15.9","High","202508-8-Influenza A"
"202332","32","08/06/2023","08/12/2023","2022-2023","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202332-5-Influenza B"
"202509","9","02/23/2025","03/01/2025","2024-2025","Influenza A","999","All sites","2025","150,401.785714286","11.17725299265","14.1","High","202509-999-Influenza A"
"202346","46","11/12/2023","11/18/2023","2023-2024","Influenza A","5","Chicago Lawn/Ashburn","2023","15,975","10.20344086683","2.7","Minimal","202346-5-Influenza A"
"202537","37","09/07/2025","09/13/2025","2024-2025","SARS-CoV-2","4","Austin/Montclare","2025","214,275","11.33097150377","4","Moderate","202537-4-SARS-CoV-2"
"202346","46","11/12/2023","11/18/2023","2023-2024","Influenza B","5","Chicago Lawn/Ashburn","2023","2,025","9.30642502755","1","Minimal","202346-5-Influenza B"
"202419","19","05/05/2024","05/11/2024","2023-2024","RSV","999","All sites","2024","1,157.14285714286","9.06338697886","0","Minimal","202419-999-RSV"
"202327","27","07/02/2023","07/08/2023","2022-2023","RSV","8","Little Village","2023","0",,"0","Minimal","202327-8-RSV"
"202418","18","04/28/2024","05/04/2024","2023-2024","Influenza B","10","Racine Ave PS","2024","8,175","9.91248776133","2.3","Minimal","202418-10-Influenza B"
"202430","30","07/21/2024","07/27/2024","2023-2024","RSV","11","125th St PS","2024","0",,"0","Minimal","202430-11-RSV"
"202507","7","02/09/2025","02/15/2025","2024-2025","Influenza B","10","Racine Ave PS","2025","4,237.5","9.62710971121","2.4","Minimal","202507-10-Influenza B"
"202522","22","05/25/2025","05/31/2025","2024-2025","RSV","999","All sites","2025","1,125","9.05115252245","0","Minimal","202522-999-RSV"
"202407","7","02/11/2024","02/17/2024","2023-2024","SARS-CoV-2","10","Racine Ave PS","2024","361,425","11.55801818969","7","High","202407-10-SARS-CoV-2"
"202339","39","09/24/2023","09/30/2023","2022-2023","RSV","10","Racine Ave PS","2023","6,075","9.78354628227","1.4","Minimal","202339-10-RSV"
"202524","24","06/08/2025","06/14/2025","2024-2025","Influenza B","4","Austin/Montclare","2025","0",,"0","Minimal","202524-4-Influenza B"
"202406","6","02/04/2024","02/10/2024","2023-2024","SARS-CoV-2","10","Racine Ave PS","2024","370,012.5","11.56821639593","7.1","High","202406-10-SARS-CoV-2"
"202211","11","03/13/2022","03/19/2022","2021-2022","Influenza B","999","All sites","2022",,,"0","Minimal","202211-999-Influenza B"
"202341","41","10/08/2023","10/14/2023","2023-2024","SARS-CoV-2","8","Little Village","2023","510,750","11.7082083753","8.6","Very High","202341-8-SARS-CoV-2"
"202547","47","11/16/2025","11/22/2025","2025-2026","Influenza A","9","North Branch PS","2025","3,975","9.59933713299","1.7","Minimal","202547-9-Influenza A"
"202330","30","07/23/2023","07/29/2023","2022-2023","SARS-CoV-2","11","125th St PS","2023","71,887.5","10.85665338061","4.5","Moderate","202330-11-SARS-CoV-2"
"202413","13","03/24/2024","03/30/2024","2023-2024","Influenza B","5","Chicago Lawn/Ashburn","2024","8,625","9.93575910375","2","Minimal","202413-5-Influenza B"
"202519","19","05/04/2025","05/10/2025","2024-2025","Influenza B","9","North Branch PS","2025","1,987.5","9.29830713733","1","Minimal","202519-9-Influenza B"
"202216","16","04/17/2022","04/23/2022","2021-2022","Influenza B","4","Austin/Montclare","2022",,,"0","Minimal","202216-4-Influenza B"
"202327","27","07/02/2023","07/08/2023","2022-2023","RSV","4","Austin/Montclare","2023","0",,"0","Minimal","202327-4-RSV"
"202545","45","11/02/2025","11/08/2025","2025-2026","Influenza A","11","125th St PS","2025","0",,"0","Minimal","202545-11-Influenza A"
"202341","41","10/08/2023","10/14/2023","2023-2024","Influenza B","8","Little Village","2023","0",,"0","Minimal","202341-8-Influenza B"
"202435","35","08/25/2024","08/31/2024","2023-2024","SARS-CoV-2","6","West Pullman/Roseland","2024","65,700","10.81756536956","3.7","Moderate","202435-6-SARS-CoV-2"
"202524","24","06/08/2025","06/14/2025","2024-2025","RSV","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202524-5-RSV"
"202518","18","04/27/2025","05/03/2025","2024-2025","RSV","999","All sites","2025","1,408.92857142857","9.1488889762","0","Minimal","202518-999-RSV"
"202516","16","04/13/2025","04/19/2025","2024-2025","RSV","999","All sites","2025","3,107.14285714286","9.49236122128","0","Minimal","202516-999-RSV"
"202403","3","01/14/2024","01/20/2024","2023-2024","SARS-CoV-2","10","Racine Ave PS","2024","402,375","11.60463098969","7.5","High","202403-10-SARS-CoV-2"
"202540","40","09/28/2025","10/04/2025","2025-2026","Influenza B","9","North Branch PS","2025","1,875","9.27300127206","0.9","Minimal","202540-9-Influenza B"
"202320","20","05/14/2023","05/20/2023","2022-2023","Influenza A","5","Chicago Lawn/Ashburn","2023","1,950","9.29003461136","1","Minimal","202320-5-Influenza A"
"202532","32","08/03/2025","08/09/2025","2024-2025","Influenza B","4","Austin/Montclare","2025","0",,"0","Minimal","202532-4-Influenza B"
"202507","7","02/09/2025","02/15/2025","2024-2025","Influenza B","9","North Branch PS","2025","3,975","9.59933713299","1","Minimal","202507-9-Influenza B"
"202238","38","09/18/2022","09/24/2022","2021-2022","Influenza B","6","West Pullman/Roseland","2022",,,"0","Minimal","202238-6-Influenza B"
"202540","40","09/28/2025","10/04/2025","2025-2026","Influenza B","10","Racine Ave PS","2025","0",,"0","Minimal","202540-10-Influenza B"
"202443","43","10/20/2024","10/26/2024","2024-2025","Influenza B","6","West Pullman/Roseland","2024","0",,"0","Minimal","202443-6-Influenza B"
"202213","13","03/27/2022","04/02/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202213-4-RSV"
"202536","36","08/31/2025","09/06/2025","2024-2025","Influenza A","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202536-5-Influenza A"
"202543","43","10/19/2025","10/25/2025","2025-2026","RSV","4","Austin/Montclare","2025","0",,"0","Minimal","202543-4-RSV"
"202422","22","05/26/2024","06/01/2024","2023-2024","RSV","5","Chicago Lawn/Ashburn","2024","0",,"0","Minimal","202422-5-RSV"
"202422","22","05/26/2024","06/01/2024","2023-2024","RSV","6","West Pullman/Roseland","2024","0",,"0","Minimal","202422-6-RSV"
"202407","7","02/11/2024","02/17/2024","2023-2024","Influenza B","4","Austin/Montclare","2024","7,350","9.86628733908","2.2","Minimal","202407-4-Influenza B"
"202440","40","09/29/2024","10/05/2024","2024-2025","Influenza B","9","North Branch PS","2024","0",,"0","Minimal","202440-9-Influenza B"
"202411","11","03/10/2024","03/16/2024","2023-2024","Influenza A","6","West Pullman/Roseland","2024","14,250","10.15381486434","4","Low","202411-6-Influenza A"
"202519","19","05/04/2025","05/10/2025","2024-2025","Influenza B","999","All sites","2025","5,573.21428571429","9.74610574166","0","Minimal","202519-999-Influenza B"
"202526","26","06/22/2025","06/28/2025","2024-2025","Influenza B","10","Racine Ave PS","2025","1,987.5","9.29830713733","1","Minimal","202526-10-Influenza B"
"202501","1","12/29/2024","01/04/2025","2024-2025","RSV","8","Little Village","2025","10,800","10.03342375549","2.1","Minimal","202501-8-RSV"
"202340","40","10/01/2023","10/07/2023","2023-2024","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202340-11-Influenza B"
"202334","34","08/20/2023","08/26/2023","2022-2023","Influenza A","999","All sites","2023","1,419.64285714286","9.15217910165","0","Minimal","202334-999-Influenza A"
"202419","19","05/05/2024","05/11/2024","2023-2024","Influenza B","6","West Pullman/Roseland","2024","0",,"0","Minimal","202419-6-Influenza B"
"202440","40","09/29/2024","10/05/2024","2024-2025","SARS-CoV-2","4","Austin/Montclare","2024","22,050","10.3434085938","1","Minimal","202440-4-SARS-CoV-2"
"202246","46","11/13/2022","11/19/2022","2022-2023","SARS-CoV-2","999","All sites","2022","210,975","11.32423099556","4.7","Moderate","202246-999-SARS-CoV-2"
"202523","23","06/01/2025","06/07/2025","2024-2025","RSV","11","125th St PS","2025","0",,"0","Minimal","202523-11-RSV"
"202427","27","06/30/2024","07/06/2024","2023-2024","Influenza B","5","Chicago Lawn/Ashburn","2024","0",,"0","Minimal","202427-5-Influenza B"
"202343","43","10/22/2023","10/28/2023","2023-2024","Influenza B","999","All sites","2023","289.28571428571","8.46132698754","0","Minimal","202343-999-Influenza B"
"202602","2","01/11/2026","01/17/2026","2025-2026","SARS-CoV-2","4","Austin/Montclare","2026","26,272.93","10.41950850872","1.1","Minimal","202602-4-SARS-CoV-2"
"202401","1","12/31/2023","01/06/2024","2023-2024","Influenza A","10","Racine Ave PS","2024","79,762.5","10.90179875763","9","Moderate","202401-10-Influenza A"
"202447","47","11/17/2024","11/23/2024","2024-2025","RSV","9","North Branch PS","2024","14,175","10.15152306756","2.6","Low","202447-9-RSV"
"202232","32","08/07/2022","08/13/2022","2021-2022","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","104,212.5","11.01791981451","2.9","Low","202232-5-SARS-CoV-2"
"202410","10","03/03/2024","03/09/2024","2023-2024","Influenza A","9","North Branch PS","2024","87,450","10.94175981381","11.2","Moderate","202410-9-Influenza A"
"202452","52","12/22/2024","12/28/2024","2024-2025","RSV","6","West Pullman/Roseland","2024","6,150","9.78887511578","1.4","Minimal","202452-6-RSV"
"202314","14","04/02/2023","04/08/2023","2022-2023","Influenza A","6","West Pullman/Roseland","2023","0",,"0","Minimal","202314-6-Influenza A"
"202411","11","03/10/2024","03/16/2024","2023-2024","RSV","11","125th St PS","2024","0",,"0","Minimal","202411-11-RSV"
"202418","18","04/28/2024","05/04/2024","2023-2024","SARS-CoV-2","9","North Branch PS","2024","52,912.5","10.72355828148","1.3","Minimal","202418-9-SARS-CoV-2"
"202452","52","12/22/2024","12/28/2024","2024-2025","Influenza A","4","Austin/Montclare","2024","131,325","11.11834740948","12.4","High","202452-4-Influenza A"
"202207","7","02/13/2022","02/19/2022","2021-2022","Influenza A","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202207-5-Influenza A"
"202445","45","11/03/2024","11/09/2024","2024-2025","Influenza A","8","Little Village","2024","6,225","9.79413935577","1.4","Minimal","202445-8-Influenza A"
"202330","30","07/23/2023","07/29/2023","2022-2023","RSV","9","North Branch PS","2023","5,962.5","9.77542839205","1.3","Minimal","202330-9-RSV"
"202303","3","01/15/2023","01/21/2023","2022-2023","RSV","6","West Pullman/Roseland","2023",,,"0","Minimal","202303-6-RSV"
"202425","25","06/16/2024","06/22/2024","2023-2024","RSV","8","Little Village","2024","2,025","9.30642502755","1","Minimal","202425-8-RSV"
"202245","45","11/06/2022","11/12/2022","2022-2023","Influenza A","4","Austin/Montclare","2022","12,000","10.07918124605","2.2","Minimal","202245-4-Influenza A"
"202314","14","04/02/2023","04/08/2023","2022-2023","Influenza A","4","Austin/Montclare","2023","0",,"0","Minimal","202314-4-Influenza A"
"202448","48","11/24/2024","11/30/2024","2024-2025","Influenza B","4","Austin/Montclare","2024","0",,"0","Minimal","202448-4-Influenza B"
"202410","10","03/03/2024","03/09/2024","2023-2024","SARS-CoV-2","5","Chicago Lawn/Ashburn","2024","1,344,375","12.12852042773","16","Very High","202410-5-SARS-CoV-2"
"202511","11","03/09/2025","03/15/2025","2024-2025","Influenza B","9","North Branch PS","2025","3,975","9.59933713299","2","Minimal","202511-9-Influenza B"
"202530","30","07/20/2025","07/26/2025","2024-2025","SARS-CoV-2","8","Little Village","2025","29,737.5","10.47330445505","1.1","Minimal","202530-8-SARS-CoV-2"
"202244","44","10/30/2022","11/05/2022","2022-2023","Influenza A","4","Austin/Montclare","2022","4,837.5","9.68462097803","1.1","Minimal","202244-4-Influenza A"
"202512","12","03/16/2025","03/22/2025","2024-2025","SARS-CoV-2","999","All sites","2025","958,435.714285714","11.98156298851","14.3","Very High","202512-999-SARS-CoV-2"
"202303","3","01/15/2023","01/21/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023",,,"0","Minimal","202303-5-RSV"
"202333","33","08/13/2023","08/19/2023","2022-2023","Influenza B","8","Little Village","2023","0",,"0","Minimal","202333-8-Influenza B"
"202527","27","06/29/2025","07/05/2025","2024-2025","Influenza B","9","North Branch PS","2025","0",,"0","Minimal","202527-9-Influenza B"
"202428","28","07/07/2024","07/13/2024","2023-2024","Influenza A","5","Chicago Lawn/Ashburn","2024","2,325","9.36642295723","1.1","Minimal","202428-5-Influenza A"
"202547","47","11/16/2025","11/22/2025","2025-2026","SARS-CoV-2","999","All sites","2025","39,530.3571428571","10.59693073806","1.5","Minimal","202547-999-SARS-CoV-2"
"202223","23","06/05/2022","06/11/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202223-4-RSV"
"202552","52","12/21/2025","12/27/2025","2025-2026","Influenza A","9","North Branch PS","2025","69,300","10.84073323461","9.4","Moderate","202552-9-Influenza A"
"202345","45","11/05/2023","11/11/2023","2023-2024","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202345-11-Influenza B"
"202251","51","12/18/2022","12/24/2022","2022-2023","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202251-4-RSV"
"202533","33","08/10/2025","08/16/2025","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2025","88,237.5","10.9456531949","2.8","Low","202533-5-SARS-CoV-2"
"202347","47","11/19/2023","11/25/2023","2023-2024","Influenza B","9","North Branch PS","2023","3,937.5","9.5952205668","2","Minimal","202347-9-Influenza B"
"202418","18","04/28/2024","05/04/2024","2023-2024","SARS-CoV-2","11","125th St PS","2024","15,975","10.20344086683","2.6","Low","202418-11-SARS-CoV-2"
"202329","29","07/16/2023","07/22/2023","2022-2023","Influenza A","999","All sites","2023","1,135.71428571429","9.05526908864","0","Minimal","202329-999-Influenza A"
"202341","41","10/08/2023","10/14/2023","2023-2024","RSV","4","Austin/Montclare","2023","1,950","9.29003461136","1","Minimal","202341-4-RSV"
"202334","34","08/20/2023","08/26/2023","2022-2023","Influenza A","8","Little Village","2023","0",,"0","Minimal","202334-8-Influenza A"
"202432","32","08/04/2024","08/10/2024","2023-2024","SARS-CoV-2","999","All sites","2024","177,551.785714286","11.24932504455","4.4","Moderate","202432-999-SARS-CoV-2"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza A","8","Little Village","2023","57,675","10.76098760319","7.7","Moderate","202319-8-Influenza A"
"202421","21","05/19/2024","05/25/2024","2023-2024","Influenza A","4","Austin/Montclare","2024","0",,"0","Minimal","202421-4-Influenza A"
"202513","13","03/23/2025","03/29/2025","2024-2025","Influenza B","6","West Pullman/Roseland","2025","0",,"0","Minimal","202513-6-Influenza B"
"202410","10","03/03/2024","03/09/2024","2023-2024","SARS-CoV-2","8","Little Village","2024","249,450","11.39698350828","5.2","Moderate","202410-8-SARS-CoV-2"
"202446","46","11/10/2024","11/16/2024","2024-2025","RSV","5","Chicago Lawn/Ashburn","2024","1,987.5","9.29830713733","1","Minimal","202446-5-RSV"
"202538","38","09/14/2025","09/20/2025","2024-2025","RSV","11","125th St PS","2025","0",,"0","Minimal","202538-11-RSV"
"202210","10","03/06/2022","03/12/2022","2021-2022","Influenza B","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202210-5-Influenza B"
"202343","43","10/22/2023","10/28/2023","2023-2024","SARS-CoV-2","5","Chicago Lawn/Ashburn","2023","175,050","11.2431621151","4.3","Moderate","202343-5-SARS-CoV-2"
"202427","27","06/30/2024","07/06/2024","2023-2024","Influenza B","11","125th St PS","2024","0",,"0","Minimal","202427-11-Influenza B"
"202220","20","05/15/2022","05/21/2022","2021-2022","Influenza A","4","Austin/Montclare","2022",,,"0","Minimal","202220-4-Influenza A"
"202248","48","11/27/2022","12/03/2022","2022-2023","RSV","8","Little Village","2022",,,"0","Minimal","202248-8-RSV"
"202535","35","08/24/2025","08/30/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","0",,"0","Minimal","202535-6-Influenza A"
"202344","44","10/29/2023","11/04/2023","2023-2024","Influenza A","999","All sites","2023","2,560.71428571429","9.40836112433","0","Minimal","202344-999-Influenza A"
"202305","5","01/29/2023","02/04/2023","2022-2023","Influenza A","8","Little Village","2023","71,325","10.85324178033","8.9","Moderate","202305-8-Influenza A"
"202213","13","03/27/2022","04/02/2022","2021-2022","SARS-CoV-2","4","Austin/Montclare","2022","11,183.3333333333","10.04857126979","0.8","Minimal","202213-4-SARS-CoV-2"
"202328","28","07/09/2023","07/15/2023","2022-2023","SARS-CoV-2","8","Little Village","2023","30,037.5","10.47766378381","1.1","Minimal","202328-8-SARS-CoV-2"
"202416","16","04/14/2024","04/20/2024","2023-2024","Influenza A","9","North Branch PS","2024","2,175","9.33745926129","1.1","Minimal","202416-9-Influenza A"
"202420","20","05/12/2024","05/18/2024","2023-2024","Influenza B","6","West Pullman/Roseland","2024","0",,"0","Minimal","202420-6-Influenza B"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza A","6","West Pullman/Roseland","2023","0",,"0","Minimal","202319-6-Influenza A"
"202304","4","01/22/2023","01/28/2023","2022-2023","SARS-CoV-2","5","Chicago Lawn/Ashburn","2023","897,262.5","11.95291951732","12.3","Very High","202304-5-SARS-CoV-2"
"202247","47","11/20/2022","11/26/2022","2022-2023","SARS-CoV-2","999","All sites","2022","370,818.75","11.5691616856","5.9","High","202247-999-SARS-CoV-2"
"202529","29","07/13/2025","07/19/2025","2024-2025","RSV","4","Austin/Montclare","2025","0",,"0","Minimal","202529-4-RSV"
"202326","26","06/25/2023","07/01/2023","2022-2023","SARS-CoV-2","11","125th St PS","2023","17,775","10.2498096094","2.8","Low","202326-11-SARS-CoV-2"
"202239","39","09/25/2022","10/01/2022","2021-2022","RSV","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202239-5-RSV"
"202302","2","01/08/2023","01/14/2023","2022-2023","Influenza B","999","All sites","2023","487.5","8.68797462003","0","Minimal","202302-999-Influenza B"
"202419","19","05/05/2024","05/11/2024","2023-2024","SARS-CoV-2","10","Racine Ave PS","2024","40,125","10.60341504541","1.5","Minimal","202419-10-SARS-CoV-2"
"202209","9","02/27/2022","03/05/2022","2021-2022","Influenza A","999","All sites","2022",,,"0","Minimal","202209-999-Influenza A"
"202330","30","07/23/2023","07/29/2023","2022-2023","Influenza B","4","Austin/Montclare","2023","0",,"0","Minimal","202330-4-Influenza B"
"202243","43","10/23/2022","10/29/2022","2022-2023","RSV","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202243-5-RSV"
"202343","43","10/22/2023","10/28/2023","2023-2024","Influenza B","10","Racine Ave PS","2023","0",,"0","Minimal","202343-10-Influenza B"
"202239","39","09/25/2022","10/01/2022","2021-2022","SARS-CoV-2","999","All sites","2022","67,287.5","10.82793439282","2.8","Low","202239-999-SARS-CoV-2"
"202322","22","05/28/2023","06/03/2023","2022-2023","Influenza A","11","125th St PS","2023","0",,"0","Minimal","202322-11-Influenza A"
"202335","35","08/27/2023","09/02/2023","2022-2023","RSV","10","Racine Ave PS","2023","0",,"0","Minimal","202335-10-RSV"
"202552","52","12/21/2025","12/27/2025","2025-2026","Influenza B","999","All sites","2025","0",,"0","Minimal","202552-999-Influenza B"
